Model,Samples,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Micro,Recall_Micro,F1_Micro
GPT - 120,300,0.8833333333333333,0.6207703634813609,0.5958202210925522,0.5767384378300694,0.9035308067891187,0.8833333333333333,0.8848238403199834,0.8833333333333333,0.8833333333333333,0.8833333333333333
LLaMA - 4,300,0.82,0.5267246061922868,0.5206568223997418,0.4164205775899929,0.8352265073329712,0.82,0.7919594748080505,0.82,0.82,0.82
LLAMA - 3.3,300,0.82,0.46523662206319033,0.41745340111353185,0.39282526533059986,0.7957270118155728,0.82,0.7855062549684113,0.82,0.82,0.82
